Country,Subtopic link,Status link,Status justification,iso_a3_eh
Uruguay,Enforcement of childhood vaccination requirement,Social exclusion,"In Uruguay, children that do not have mandatory vaccinations or a medical exemption listed on their Child Health Card may not be enrolled in schools or participate in sports/extracurriculars.",URY
Uruguay,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,URY
Uruguay,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,URY
Uruguay,Enforcement of emergency vaccination,Legal sanctions,Any individual who fails to comply with a mandatory vaccination will be fined up to 500 Pesos. ,URY
Uzbekistan,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,UZB
Uzbekistan,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,UZB
Uzbekistan,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,UZB
Uzbekistan,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,UZB
Uzbekistan,Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for individuals to be vaccinated in the face of appropriate epidemiological conditions, no enforcement mechanisms were identified in the legislation. ",UZB
Vanuatu,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,VUT
Vanuatu,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,VUT
Vanuatu,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,VUT
Vanuatu,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,VUT
Vanuatu,Enforcement of emergency vaccination,Legal sanctions,"Individuals that fail to receive emergency vaccinations can be fined 100,000 VT and serve up to 12 months in jail. ",VUT
Venezuela (Bolivarian Republic of),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,VEN
Venezuela (Bolivarian Republic of),Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Venezuela, children that do not have mandatory vaccinations may not be enrolled in schools or employed. Additionally, the law allows for criminalization, as outlined in the Penal Code and reserves the right to commit forcible vaccination, as necessary. ",VEN
Venezuela (Bolivarian Republic of),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,VEN
Venezuela (Bolivarian Republic of),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,VEN
Venezuela (Bolivarian Republic of),Enforcement of emergency vaccination,2 or more enforcement mechanisms,"The law allows for criminalization, as outlined in the Penal Code (Jail sentence) and reserves the right to commit forcible vaccination, as necessary. ",VEN
Viet Nam (Vietnam),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,VNM
Viet Nam (Vietnam),Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. ",VNM
